x,y,rssi1,rssi2,rssi3,rssi4
50,100,-62.3,-66.9,-66.05,-78.55
50,150,-64.9,-75.4,-71.1,-77.15
50,150,-68.85,-75.4,-70.55,-76.4
50,150,-68.5,-74.9,-69.75,-76.45
50,150,-68.7,-75.5,-69.85,-76.65
50,150,-68.25,-74.8,-71.35,-75.95
50,200,-63.4,-71.6,-67.1,-76.9
50,200,-67.95,-72.85,-65.3,-75.65
50,200,-68.9,-73.4,-66.55,-77.7
50,200,-67.9,-72.8,-66,-75.3
50,200,-68.5,-73.1,-67,-77.05
50,250,-65.85,-69.1,-65.25,-70.1
50,250,-70.45,-70.25,-64.4,-74.55
50,250,-68.9,-70.7,-63.55,-74.25
50,250,-70.3,-68.85,-64.8,-73.45
50,250,-70.6,-69.1,-64.05,-73.9
50,300,-69.5,-69.45,-65.3,-72.4
50,300,-72.35,-70.25,-66.55,-72.95
50,300,-72.85,-72.45,-64.05,-72.3
50,300,-69.85,-67.45,-63.65,-71.6
50,300,-74.55,-70.45,-65.9,-72.45
50,350,-63.95,-66.4,-64.65,-79.45
50,350,-68.15,-64,-62.95,-78.75
50,350,-67.6,-65.5,-63.85,-76.25
50,350,-67.6,-66.25,-65.2,-76.55
50,350,-67.6,-65.4,-63.6,-77.3
400,50,-69.35,-77.95,-73.25,-53.8
400,50,-73.85,-82.15,-75.7,-54.3
400,50,-72.6,-79.1,-75.6,-54.1
400,50,-73,-78.45,-74,-53.45
400,50,-73.35,-80.05,-75.2,-53.7
400,100,-61.95,-66.6,-70,-62
400,100,-65.5,-68,-67.75,-62.65
400,100,-66,-67,-69.85,-62.1
400,100,-64.85,-66.3,-70.45,-62.4
400,100,-65.85,-67,-69.95,-62.5
400,150,-72,-67.25,-71.85,-67.1
400,150,-77.45,-68.3,-73.55,-67.6
400,150,-78.3,-69.35,-74.05,-68.1
400,150,-75.55,-68.9,-75.6,-67.5
400,150,-77.7,-69.45,-75.9,-67.95
400,200,-66.05,-65.65,-71.95,-69.7
400,200,-69.75,-67.75,-74.2,-74.1
400,200,-68.8,-67.75,-75.75,-76.95
400,200,-69.25,-67.25,-73.15,-76.8
400,200,-69.35,-66.6,-72.45,-73.7
400,300,-69.35,-64.1,-71,-69.8
400,300,-73.5,-65,-72.95,-72.7
400,300,-72.45,-63.75,-71,-68.05
400,300,-72.75,-65.2,-75.25,-73
400,300,-71.8,-63.5,-73.55,-70.45
0,0,-36.1,-41.5,-70,-80
0,0,-42.6,-41.25,-70,-80
0,0,-35.15,-38.35,-70,-80
0,0,-35.55,-40,-70,-80
0,0,-35.6,-37.35,-70,-80
0,0,-35.95,-39.7,-70,-80
0,0,-34.9,-37.35,-70,-80
0,0,-61.8,-38.7,-74.15,-75.75
0,0,-62.9,-39.55,-71.5,-70.7
0,0,-63.35,-40.55,-73.45,-70.95
0,0,-65.1,-41.45,-72,-71.9
0,0,-63.2,-40.75,-72.35,-71.1
0,0,-60.45,-42.45,-72.05,-67.05
0,0,-62.1,-40.65,-70.45,-70.8
0,0,-63.45,-40.7,-71.1,-70.75
0,0,-64.35,-39.95,-72.35,-71.15
0,0,-63,-41.4,-70.45,-71.15
0,0,-64.95,-40.9,-68.95,-72.1
0,0,-64.8,-41.7,-69.75,-71.55
0,0,-63,-40.1,-74.7,-70.05
0,0,-62.55,-39.45,-73.15,-71.2
0,0,-65.15,-38.8,-71.1,-70.85
0,0,-65.45,-39.4,-71.05,-71.6
0,0,-63.1,-41.95,-70.65,-71.55
0,0,-62.65,-39,-72.8,-70.8
0,0,-64.2,-39.85,-71.5,-71.55
0,0,-64.5,-40.1,-73.65,-70.55
0,0,-64.55,-39.45,-71.05,-72.45
0,0,-63.95,-39.2,-72.6,-72.4
0,0,-63.9,-39.4,-71.55,-70.9
0,0,-23.55,-68.5,-62.65,-68.55
0,0,-22.65,-68.6,-63.15,-69.1
0,0,-23.25,-69.85,-62.9,-71.3
0,0,-22.2,-68.85,-62.4,-68.85
0,0,-23,-69.4,-63.5,-69.95
0,0,-41.9,-66.5,-63.05,-70.6
0,0,-63.9,-64.4,-63.6,-70.6
0,0,-63.5,-64.8,-63.7,-72
0,0,-63.95,-64.15,-63.45,-68.65
0,0,-63.45,-64.95,-64,-68.4
0,0,-65.9,-72,-65.95,-69.6
0,0,-72.75,-72.4,-66.75,-74.2
0,0,-68.3,-67.85,-60.85,-68.6
0,0,-71.45,-73.8,-62.8,-72.55
0,0,-72.05,-74,-65.95,-73.05
