-54.30,-45.80,-55.70,-58.20,-54.10,-57.90,-60.60,-62.90,-62.20,-57.60,-59.20,-56.00,1.00
-54.80,-46.00,-56.10,-60.00,-56.20,-56.00,-59.30,-57.50,-59.90,-53.20,-54.70,-56.70,2.00
-55.90,-48.10,-47.70,-54.10,-49.90,-58.70,-59.90,-64.50,-61.00,-56.60,-61.00,-61.80,3.00
-52.00,-56.27,-45.09,-48.18,-49.82,-53.18,-58.91,-57.09,-59.00,-56.09,-58.27,-53.45,4.00
-56.90,-56.30,-49.00,-47.90,-47.00,-55.00,-59.10,-61.50,-58.50,-56.30,-60.10,-59.40,5.00
-50.42,-42.50,-56.25,-54.25,-55.75,-56.50,-60.08,-62.42,-61.00,-54.92,-54.17,-43.83,6.00
-48.45,-48.91,-48.55,-53.00,-56.00,-54.45,-59.64,-57.36,-59.73,-59.55,-56.27,-53.45,7.00
-54.75,-58.67,-52.58,-57.17,-58.67,-50.58,-59.42,-59.67,-61.58,-59.50,-60.83,-64.00,8.00
-61.36,-53.36,-57.36,-56.00,-49.00,-51.73,-59.73,-61.00,-60.82,-58.82,-60.82,-58.73,9.00
-51.58,-48.42,-54.33,-55.42,-45.25,-51.17,-60.58,-55.92,-56.58,-59.08,-55.58,-50.83,10.00
-55.00,-45.50,-53.30,-55.70,-54.40,-56.20,-61.90,-60.00,-58.60,-55.30,-54.90,-46.70,11.00
-54.70,-46.80,-55.80,-55.10,-55.30,-58.00,-61.50,-54.90,-57.20,-54.00,-58.20,-54.60,12.00
-55.64,-48.57,-57.71,-58.86,-56.79,-57.71,-57.71,-56.71,-54.21,-53.71,-50.93,-56.07,13.00
-61.55,-62.27,-57.27,-56.09,-53.73,-56.91,-57.55,-58.82,-53.82,-54.64,-59.82,-59.82,14.00
-52.30,-48.10,-56.90,-59.10,-56.10,-45.40,-58.70,-52.20,-56.70,-56.60,-55.30,-52.00,15.00
-55.91,-53.00,-52.64,-57.64,-58.27,-56.09,-61.64,-61.91,-57.09,-52.27,-50.73,-54.27,16.00
-56.70,-53.10,-58.70,-53.50,-51.50,-57.30,-60.10,-58.00,-59.80,-53.30,-55.90,-53.80,17.00
-53.27,-58.91,-58.45,-57.82,-57.09,-56.91,-58.00,-48.18,-55.00,-51.64,-57.36,-58.36,18.00
-58.09,-57.00,-54.82,-56.27,-54.00,-53.82,-54.09,-60.27,-49.45,-54.00,-60.82,-58.55,19.00
-57.15,-58.15,-56.92,-49.62,-54.92,-52.46,-57.15,-55.23,-58.38,-57.00,-56.38,-55.23,20.00
-53.70,-52.80,-59.10,-59.20,-58.70,-57.90,-59.20,-57.00,-58.10,-55.00,-51.60,-50.30,21.00
-60.67,-59.75,-59.67,-62.58,-55.67,-57.75,-52.75,-55.58,-51.08,-49.67,-59.75,-58.92,22.00
-60.08,-57.38,-60.15,-58.62,-56.38,-57.46,-55.54,-53.77,-46.62,-53.92,-59.77,-60.77,23.00
-56.00,-54.20,-52.00,-54.40,-57.00,-58.10,-59.70,-58.60,-57.70,-60.00,-58.30,-56.80,24.00
-57.45,-58.18,-60.91,-54.73,-58.55,-54.00,-59.82,-51.18,-51.27,-53.09,-54.00,-62.09,25.00
